plz	provider	tarif	price	deckungssumme
59558	VHV	Klassik-Garant	48,20	10
59558	VHV	Exklusiv mit Best-Leistungs-Garantie	75,57	50
59558	VOLKSWOHL BUND	Komfort	67,83	10
21493	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
21493	Adcuri	Basis	43,28	5
21493	Adcuri	Top	51,42	10
21493	Adcuri	Premium	73,84	10
21493	Adcuri	Premium	82,48	50
21493	AllSecur	Basis	39,10	6
21493	AllSecur	Komfort	47,50	12
21493	AllSecur	Premium	56,07	24
21493	ARAG	Basis	55,54	5
21493	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
21493	Adcuri	Basis	43,28	5
21493	Adcuri	Top	51,42	10
21493	Adcuri	Premium	73,84	10
21493	Adcuri	Premium	82,48	50
21493	AllSecur	Basis	39,10	6
21493	AllSecur	Komfort	47,50	12
21493	AllSecur	Premium	56,07	24
21493	ARAG	Basis	55,54	5
21493	ARAG	Premium	119,25	50
21493	asspario	fair select (5 Jahre ohne Vorschaden)	44,13	10
21493	asspario	best select (5 Jahre ohne Vorschaden)	51,62	15
21493	asspario	top select (5 Jahre ohne Vorschaden)	72,17	50
21493	AXA	Alternativ S - (1 Jahr ohne Vorschaden)	32,89	5
21493	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	37,89	20
21493	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	42,89	20
21493	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	52,89	20
21493	AXA	Alternativ L - (1 Jahr ohne Vorschaden)	64,50	50
21493	Baden-Badener	Eco	39,96	7,5
21493	Baden-Badener	Eco Plus	40,66	10
21493	Baden-Badener	Premium	51,40	10
21493	BarmeniaDirekt	Kompakt	37,01	5
21493	BarmeniaDirekt	Top	63,47	10
21493	BarmeniaDirekt	Top	72,01	50
21493	BarmeniaDirekt	Premium	85,68	10
21493	BarmeniaDirekt	Premium	94,21	50
21493	BavariaDirekt	Komfort S (5 Jahre ohne Vorschaden)	44,91	5
21493	BavariaDirekt	Komfort L (5 Jahre ohne Vorschaden)	54,67	30
21493	BGV / Badische Versicherungen	Basis	42,90	7,5
21493	BGV / Badische Versicherungen	Klassik	64,90	10
21493	BGV / Badische Versicherungen	Exklusiv	93,50	50
21493	Condor	Privatschutz	93,06	15
21493	Condor	Privatschutz Comfort	117,10	20
21493	DEVK Allgemeine	Komfort-Schutz	49,20	10
21493	DEVK Allgemeine	Premium-Schutz	70,80	20
21493	die Bayerische	Smart (3 Jahre ohne Vorschaden)	40,01	7,5
21493	die Bayerische	Prestige (3 Jahre ohne Vorschaden)	77,88	50
21493	Die Haftpflichtkasse	Einfach Gut	54,74	15
21493	Die Haftpflichtkasse	Einfach Besser	66,64	20
21493	Die Haftpflichtkasse	Einfach Besser Plus	73,78	50
21493	Die Haftpflichtkasse	Einfach Komplett	83,30	50
21493	ERGO	Privat-Haftpflichtversicherung	77,22	5
21493	ERGO	Privat-Haftpflichtversicherung	82,54	10
21493	ERGO	Privat-Haftpflichtversicherung	90,71	50
21493	ERGO	Premium Schutz	120,55	5
21493	ERGO	Premium Schutz	134,04	50
21493	Europa	Basis	37,76	5
21493	Europa	Komfort	52,23	10
21493	Europa	Premium	84,79	30
21493	Gothaer	Privathaftpflicht	42,11	10
21493	Gothaer	Top	72,39	20
21493	Gothaer	TopPlus	94,77	50
21493	GVO	VIT	42,48	5
21493	GVO	TOP-VIT	50,98	5
21493	GVO	TOP-VIT	76,68	20
21493	GVO	TOP-VIT mit Bestleistungs-Garantie	87,36	10
21493	GVO	TOP-VIT mit Bestleistungs-Garantie	92,15	20
21493	HanseMerkur	Premium	48,37	10
21493	HanseMerkur	Top	63,84	5
21493	HanseMerkur	Top	82,05	10
21493	HanseMerkur	Top	95,00	30
21493	HanseMerkur	Top	98,45	50
21493	Helvetia	Basisschutz	45,57	10
21493	Helvetia	Komfortschutz	54,01	5
21493	Helvetia	Komfortschutz	55,76	10
21493	Inter	Exklusiv	69,62	8
21493	Inter	Premium	78,18	10
21493	Interlloyd	PHV Eurosecure	59,50	10
21493	Interlloyd	PHV Premium	71,40	20
21493	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	59,38	7,5
21493	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	62,68	15
21493	Janitos	Balance (5 Jahre ohne Vorschaden)	61,08	20
21493	Janitos	Best Selection (5 Jahre ohne Vorschaden)	63,65	10
21493	Janitos	Best Selection (5 Jahre ohne Vorschaden)	66,34	20
21493	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	70,79	10
21493	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	73,48	20
21493	Medien	Standard	47,60	5
21493	Medien	Komfort	53,31	5
21493	Medien	Komfort	56,53	7,5
21493	Medien	Komfort	68,43	7,5
21493	Oberösterreichische	Komfortschutz (5 Jahre ohne Vorschaden)	30,87	5
21493	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	44,80	5
21493	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	53,31	10
21493	Prokundo	Komfort plus (5 Jahre ohne Vorschaden)	52,60	10
21493	Prokundo	Exklusiv plus (5 Jahre ohne Vorschaden)	67,95	15
21493	R+V	Privatschutz	93,06	15
21493	Rhion	Standard	48,15	5
21493	Rhion	Plus	61,19	5
21493	Rhion	Plus	64,55	10
21493	Rhion	Premium	75,85	20
21493	Schleswiger	Plus	54,19	5
21493	Schleswiger	Exklusiv	69,73	15
21493	Syncro24	BLUE LINE TIP	54,74	10
21493	Syncro24	BLUE LINE TOP	71,40	10
21493	VHV	Klassik-Garant	48,20	10
21493	VHV	Exklusiv mit Best-Leistungs-Garantie	75,57	50
21493	VOLKSWOHL BUND	Komfort	67,83	10
45133	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
45133	Adcuri	Basis	43,28	5
45133	Adcuri	Top	51,42	10
45133	Adcuri	Premium	73,84	10
45133	Adcuri	Premium	82,48	50
45133	AllSecur	Basis	39,10	6
45133	AllSecur	Komfort	47,50	12
45133	AllSecur	Premium	56,07	24
45133	ARAG	Basis	55,54	5
45133	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
45133	Adcuri	Basis	43,28	5
45133	Adcuri	Top	51,42	10
45133	Adcuri	Premium	73,84	10
45133	Adcuri	Premium	82,48	50
45133	AllSecur	Basis	39,10	6
45133	AllSecur	Komfort	47,50	12
45133	AllSecur	Premium	56,07	24
45133	ARAG	Basis	55,54	5
45133	ARAG	Premium	119,25	50
45133	asspario	fair select (5 Jahre ohne Vorschaden)	44,13	10
45133	asspario	best select (5 Jahre ohne Vorschaden)	51,62	15
45133	asspario	top select (5 Jahre ohne Vorschaden)	72,17	50
45133	AXA	Alternativ S - (1 Jahr ohne Vorschaden)	36,35	5
45133	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	41,35	20
45133	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	46,35	20
45133	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	56,35	20
45133	AXA	Alternativ L - (1 Jahr ohne Vorschaden)	67,96	50
45133	Baden-Badener	Eco	39,96	7,5
45133	Baden-Badener	Eco Plus	40,66	10
45133	Baden-Badener	Premium	51,40	10
45133	BarmeniaDirekt	Kompakt	37,01	5
45133	BarmeniaDirekt	Top	63,47	10
45133	BarmeniaDirekt	Top	72,01	50
45133	BarmeniaDirekt	Premium	85,68	10
45133	BarmeniaDirekt	Premium	94,21	50
45133	BavariaDirekt	Komfort S (5 Jahre ohne Vorschaden)	44,91	5
45133	BavariaDirekt	Komfort L (5 Jahre ohne Vorschaden)	54,67	30
45133	BGV / Badische Versicherungen	Basis	42,90	7,5
45133	BGV / Badische Versicherungen	Klassik	64,90	10
45133	BGV / Badische Versicherungen	Exklusiv	93,50	50
45133	Condor	Privatschutz	93,06	15
45133	Condor	Privatschutz Comfort	117,10	20
45133	DEVK Allgemeine	Komfort-Schutz	49,20	10
45133	DEVK Allgemeine	Premium-Schutz	70,80	20
45133	die Bayerische	Smart (3 Jahre ohne Vorschaden)	40,01	7,5
45133	die Bayerische	Prestige (3 Jahre ohne Vorschaden)	77,88	50
45133	Die Haftpflichtkasse	Einfach Gut	54,74	15
45133	Die Haftpflichtkasse	Einfach Besser	66,64	20
45133	Die Haftpflichtkasse	Einfach Besser Plus	73,78	50
45133	Die Haftpflichtkasse	Einfach Komplett	83,30	50
45133	ERGO	Privat-Haftpflichtversicherung	77,22	5
45133	ERGO	Privat-Haftpflichtversicherung	82,54	10
45133	ERGO	Privat-Haftpflichtversicherung	90,71	50
45133	ERGO	Premium Schutz	120,55	5
45133	ERGO	Premium Schutz	134,04	50
45133	Europa	Basis	37,76	5
45133	Europa	Komfort	52,23	10
45133	Europa	Premium	84,79	30
45133	Gothaer	Privathaftpflicht	42,11	10
45133	Gothaer	Top	72,39	20
45133	Gothaer	TopPlus	94,77	50
45133	GVO	VIT	42,48	5
45133	GVO	TOP-VIT	50,98	5
45133	GVO	TOP-VIT	76,68	20
45133	GVO	TOP-VIT mit Bestleistungs-Garantie	87,36	10
45133	GVO	TOP-VIT mit Bestleistungs-Garantie	92,15	20
45133	HanseMerkur	Premium	48,37	10
45133	HanseMerkur	Top	63,84	5
45133	HanseMerkur	Top	82,05	10
45133	HanseMerkur	Top	95,00	30
45133	HanseMerkur	Top	98,45	50
45133	Helvetia	Basisschutz	45,57	10
45133	Helvetia	Komfortschutz	54,01	5
45133	Helvetia	Komfortschutz	55,76	10
45133	Inter	Exklusiv	69,62	8
45133	Inter	Premium	78,18	10
45133	Interlloyd	PHV Eurosecure	59,50	10
45133	Interlloyd	PHV Premium	71,40	20
45133	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	59,38	7,5
45133	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	62,68	15
45133	Janitos	Balance (5 Jahre ohne Vorschaden)	61,08	20
45133	Janitos	Best Selection (5 Jahre ohne Vorschaden)	63,65	10
45133	Janitos	Best Selection (5 Jahre ohne Vorschaden)	66,34	20
45133	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	70,79	10
45133	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	73,48	20
45133	Medien	Standard	47,60	5
45133	Medien	Komfort	53,31	5
45133	Medien	Komfort	56,53	7,5
45133	Medien	Komfort	68,43	7,5
45133	Oberösterreichische	Komfortschutz (5 Jahre ohne Vorschaden)	30,87	5
45133	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	44,80	5
45133	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	53,31	10
45133	Prokundo	Komfort plus (5 Jahre ohne Vorschaden)	52,60	10
45133	Prokundo	Exklusiv plus (5 Jahre ohne Vorschaden)	67,95	15
45133	R+V	Privatschutz	93,06	15
45133	Rhion	Standard	48,15	5
45133	Rhion	Plus	61,19	5
45133	Rhion	Plus	64,55	10
45133	Rhion	Premium	75,85	20
45133	Schleswiger	Plus	54,19	5
45133	Schleswiger	Exklusiv	69,73	15
45133	Syncro24	BLUE LINE TIP	54,74	10
45133	Syncro24	BLUE LINE TOP	71,40	10
45133	VHV	Klassik-Garant	48,20	10
45133	VHV	Exklusiv mit Best-Leistungs-Garantie	75,57	50
45133	VOLKSWOHL BUND	Komfort	67,83	10
37083	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
37083	Adcuri	Basis	43,28	5
37083	Adcuri	Top	51,42	10
37083	Adcuri	Premium	73,84	10
37083	Adcuri	Premium	82,48	50
37083	AllSecur	Basis	45,91	6
37083	AllSecur	Komfort	52,01	12
37083	AllSecur	Premium	60,31	24
37083	ARAG	Basis	55,54	5
37083	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
37083	Adcuri	Basis	43,28	5
37083	Adcuri	Top	51,42	10
37083	Adcuri	Premium	73,84	10
37083	Adcuri	Premium	82,48	50
37083	AllSecur	Basis	45,91	6
37083	AllSecur	Komfort	52,01	12
37083	AllSecur	Premium	60,31	24
37083	ARAG	Basis	55,54	5
37083	ARAG	Premium	119,25	50
37083	asspario	fair select (5 Jahre ohne Vorschaden)	44,13	10
37083	asspario	best select (5 Jahre ohne Vorschaden)	51,62	15
37083	asspario	top select (5 Jahre ohne Vorschaden)	72,17	50
37083	AXA	Alternativ S - (1 Jahr ohne Vorschaden)	32,89	5
37083	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	37,89	20
37083	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	42,89	20
37083	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	52,89	20
37083	AXA	Alternativ L - (1 Jahr ohne Vorschaden)	64,50	50
37083	Baden-Badener	Eco	39,96	7,5
37083	Baden-Badener	Eco Plus	40,66	10
37083	Baden-Badener	Premium	51,40	10
37083	BarmeniaDirekt	Kompakt	37,01	5
37083	BarmeniaDirekt	Top	63,47	10
37083	BarmeniaDirekt	Top	72,01	50
37083	BarmeniaDirekt	Premium	85,68	10
37083	BarmeniaDirekt	Premium	94,21	50
37083	BavariaDirekt	Komfort S (5 Jahre ohne Vorschaden)	44,91	5
37083	BavariaDirekt	Komfort L (5 Jahre ohne Vorschaden)	54,67	30
37083	BGV / Badische Versicherungen	Basis	42,90	7,5
37083	BGV / Badische Versicherungen	Klassik	64,90	10
37083	BGV / Badische Versicherungen	Exklusiv	93,50	50
37083	Condor	Privatschutz	93,06	15
37083	Condor	Privatschutz Comfort	117,10	20
37083	DEVK Allgemeine	Komfort-Schutz	49,20	10
37083	DEVK Allgemeine	Premium-Schutz	70,80	20
37083	die Bayerische	Smart (3 Jahre ohne Vorschaden)	40,01	7,5
37083	die Bayerische	Prestige (3 Jahre ohne Vorschaden)	77,88	50
37083	Die Haftpflichtkasse	Einfach Gut	54,74	15
37083	Die Haftpflichtkasse	Einfach Besser	66,64	20
37083	Die Haftpflichtkasse	Einfach Besser Plus	73,78	50
37083	Die Haftpflichtkasse	Einfach Komplett	83,30	50
37083	ERGO	Privat-Haftpflichtversicherung	77,22	5
37083	ERGO	Privat-Haftpflichtversicherung	82,54	10
37083	ERGO	Privat-Haftpflichtversicherung	90,71	50
37083	ERGO	Premium Schutz	120,55	5
37083	ERGO	Premium Schutz	134,04	50
37083	Europa	Basis	37,76	5
37083	Europa	Komfort	52,23	10
37083	Europa	Premium	84,79	30
37083	Gothaer	Privathaftpflicht	42,11	10
37083	Gothaer	Top	72,39	20
37083	Gothaer	TopPlus	94,77	50
37083	GVO	VIT	42,48	5
37083	GVO	TOP-VIT	50,98	5
37083	GVO	TOP-VIT	76,68	20
37083	GVO	TOP-VIT mit Bestleistungs-Garantie	87,36	10
37083	GVO	TOP-VIT mit Bestleistungs-Garantie	92,15	20
37083	HanseMerkur	Premium	48,37	10
37083	HanseMerkur	Top	63,84	5
37083	HanseMerkur	Top	82,05	10
37083	HanseMerkur	Top	95,00	30
37083	HanseMerkur	Top	98,45	50
37083	Helvetia	Basisschutz	45,57	10
37083	Helvetia	Komfortschutz	54,01	5
37083	Helvetia	Komfortschutz	55,76	10
37083	Inter	Exklusiv	69,62	8
37083	Inter	Premium	78,18	10
37083	Interlloyd	PHV Eurosecure	59,50	10
37083	Interlloyd	PHV Premium	71,40	20
37083	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	59,38	7,5
37083	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	62,68	15
37083	Janitos	Balance (5 Jahre ohne Vorschaden)	61,08	20
37083	Janitos	Best Selection (5 Jahre ohne Vorschaden)	63,65	10
37083	Janitos	Best Selection (5 Jahre ohne Vorschaden)	66,34	20
37083	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	70,79	10
37083	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	73,48	20
37083	Medien	Standard	47,60	5
37083	Medien	Komfort	53,31	5
37083	Medien	Komfort	56,53	7,5
37083	Medien	Komfort	68,43	7,5
37083	Oberösterreichische	Komfortschutz (5 Jahre ohne Vorschaden)	30,87	5
37083	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	44,80	5
37083	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	53,31	10
37083	Prokundo	Komfort plus (5 Jahre ohne Vorschaden)	52,60	10
37083	Prokundo	Exklusiv plus (5 Jahre ohne Vorschaden)	67,95	15
37083	R+V	Privatschutz	93,06	15
37083	Rhion	Standard	48,15	5
37083	Rhion	Plus	61,19	5
37083	Rhion	Plus	64,55	10
37083	Rhion	Premium	75,85	20
37083	Schleswiger	Plus	54,19	5
37083	Schleswiger	Exklusiv	69,73	15
37083	Syncro24	BLUE LINE TIP	54,74	10
37083	Syncro24	BLUE LINE TOP	71,40	10
37083	VHV	Klassik-Garant	48,20	10
37083	VHV	Exklusiv mit Best-Leistungs-Garantie	75,57	50
37083	VOLKSWOHL BUND	Komfort	67,83	10
10997	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
10997	Adcuri	Basis	43,28	5
10997	Adcuri	Top	51,42	10
10997	Adcuri	Premium	73,84	10
10997	Adcuri	Premium	82,48	50
10997	AllSecur	Basis	45,91	6
10997	AllSecur	Komfort	52,01	12
10997	AllSecur	Premium	60,31	24
10997	ARAG	Basis	55,54	5
10997	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
10997	Adcuri	Basis	43,28	5
10997	Adcuri	Top	51,42	10
10997	Adcuri	Premium	73,84	10
10997	Adcuri	Premium	82,48	50
10997	AllSecur	Basis	45,91	6
10997	AllSecur	Komfort	52,01	12
10997	AllSecur	Premium	60,31	24
10997	ARAG	Basis	55,54	5
10997	ARAG	Premium	119,25	50
10997	asspario	fair select (5 Jahre ohne Vorschaden)	44,13	10
10997	asspario	best select (5 Jahre ohne Vorschaden)	51,62	15
10997	asspario	top select (5 Jahre ohne Vorschaden)	72,17	50
10997	AXA	Alternativ S - (1 Jahr ohne Vorschaden)	33,56	5
10997	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	38,56	20
10997	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	43,56	20
10997	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	53,56	20
10997	AXA	Alternativ L - (1 Jahr ohne Vorschaden)	65,16	50
10997	Baden-Badener	Eco	39,96	7,5
10997	Baden-Badener	Eco Plus	40,66	10
10997	Baden-Badener	Premium	51,40	10
10997	BarmeniaDirekt	Kompakt	37,01	5
10997	BarmeniaDirekt	Top	63,47	10
10997	BarmeniaDirekt	Top	72,01	50
10997	BarmeniaDirekt	Premium	85,68	10
10997	BarmeniaDirekt	Premium	94,21	50
10997	BavariaDirekt	Komfort S (5 Jahre ohne Vorschaden)	44,91	5
10997	BavariaDirekt	Komfort L (5 Jahre ohne Vorschaden)	54,67	30
10997	BGV / Badische Versicherungen	Basis	42,90	7,5
10997	BGV / Badische Versicherungen	Klassik	64,90	10
10997	BGV / Badische Versicherungen	Exklusiv	93,50	50
10997	Condor	Privatschutz	93,06	15
10997	Condor	Privatschutz Comfort	117,10	20
10997	DEVK Allgemeine	Komfort-Schutz	49,20	10
10997	DEVK Allgemeine	Premium-Schutz	70,80	20
10997	die Bayerische	Smart (3 Jahre ohne Vorschaden)	40,01	7,5
10997	die Bayerische	Prestige (3 Jahre ohne Vorschaden)	77,88	50
10997	Die Haftpflichtkasse	Einfach Gut	54,74	15
10997	Die Haftpflichtkasse	Einfach Besser	66,64	20
10997	Die Haftpflichtkasse	Einfach Besser Plus	73,78	50
10997	Die Haftpflichtkasse	Einfach Komplett	83,30	50
10997	ERGO	Privat-Haftpflichtversicherung	77,22	5
10997	ERGO	Privat-Haftpflichtversicherung	82,54	10
10997	ERGO	Privat-Haftpflichtversicherung	90,71	50
10997	ERGO	Premium Schutz	120,55	5
10997	ERGO	Premium Schutz	134,04	50
10997	Europa	Basis	37,76	5
10997	Europa	Komfort	52,23	10
10997	Europa	Premium	84,79	30
10997	Gothaer	Privathaftpflicht	42,11	10
10997	Gothaer	Top	72,39	20
10997	Gothaer	TopPlus	94,77	50
10997	GVO	VIT	42,48	5
10997	GVO	TOP-VIT	50,98	5
10997	GVO	TOP-VIT	76,68	20
10997	GVO	TOP-VIT mit Bestleistungs-Garantie	87,36	10
10997	GVO	TOP-VIT mit Bestleistungs-Garantie	92,15	20
10997	HanseMerkur	Premium	48,37	10
10997	HanseMerkur	Top	63,84	5
10997	HanseMerkur	Top	82,05	10
10997	HanseMerkur	Top	95,00	30
10997	HanseMerkur	Top	98,45	50
10997	Helvetia	Basisschutz	45,57	10
10997	Helvetia	Komfortschutz	54,01	5
10997	Helvetia	Komfortschutz	55,76	10
10997	Inter	Exklusiv	69,62	8
10997	Inter	Premium	78,18	10
10997	Interlloyd	PHV Eurosecure	59,50	10
10997	Interlloyd	PHV Premium	71,40	20
10997	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	59,38	7,5
10997	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	62,68	15
10997	Janitos	Balance (5 Jahre ohne Vorschaden)	61,08	20
10997	Janitos	Best Selection (5 Jahre ohne Vorschaden)	63,65	10
10997	Janitos	Best Selection (5 Jahre ohne Vorschaden)	66,34	20
10997	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	70,79	10
10997	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	73,48	20
10997	Medien	Standard	47,60	5
10997	Medien	Komfort	53,31	5
10997	Medien	Komfort	56,53	7,5
10997	Medien	Komfort	68,43	7,5
10997	Oberösterreichische	Komfortschutz (5 Jahre ohne Vorschaden)	30,87	5
10997	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	44,80	5
10997	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	53,31	10
10997	Prokundo	Komfort plus (5 Jahre ohne Vorschaden)	52,60	10
